Station (alphabetical by borough),2013,2014,2015,2016,2017,2018,2017-2018 Change,2017-2018 Change2,2018 Rank
The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx
Broadway,"4,325,297","4,407,347","4,300,632","4,189,306","4,060,805","2,436,810","-1,623,995",-40.0%,194
Court Sq,"6,072,768","6,664,442","6,730,837","6,809,217","7,003,218","7,218,939","+215,721",+3.1%,53
Elmhurst Av,"4,343,633","4,362,316","4,350,714","4,268,747","4,039,686","3,898,046","-141,640",-3.5%,123
Far    Rockaway-Mott Av,"806,025","1,486,147","1,576,988","1,572,694","1,472,005","1,376,087","-95,918",-6.5%,310
Flushing-Main    St,"19,102,434","19,085,948","19,082,391","19,257,879","18,746,832","17,799,862","-946,970",-5.1%,11
Forest Av,"1,179,301","1,235,376","1,317,289","1,316,296","796,742","927,801","+131,059",+16.4%,367
Forest    Hills-71 Av,"8,573,480","8,585,239","8,654,547","8,581,096","8,748,221","8,115,385","-632,836",-7.2%,42
Fresh Pond Rd,"1,534,754","1,676,862","1,806,429","1,831,889","1,198,376","1,400,512","+202,136",+16.9%,308
Grand    Av-Newtown,"5,832,568","5,861,823","5,995,764","6,057,028","5,792,378","5,713,827","-78,551",-1.4%,74
Howard    Beach-JFK Airport,"1,626,984","963,503","1,041,816","1,012,067","1,123,405","1,154,695","+31,290",+2.8%,331
Hunters Point    Av,"1,710,103","1,791,109","1,848,769","1,994,002","1,999,970","1,932,478","-67,492",-3.4%,243
Jamaica    Center-Parsons-Archer,"12,507,906","12,784,635","12,622,977","12,470,914","11,604,228","10,681,269","-922,959",-8.0%,27
Jamaica-179    St,"6,868,439","6,818,494","6,898,938","6,783,119","6,463,698","6,270,766","-192,932",-3.0%,67
Jamaica-Van    Wyck,"1,565,998","1,587,413","1,545,016","1,536,716","1,555,962","1,502,672","-53,290",-3.4%,294
Junction Blvd,"6,816,700","6,946,966","7,064,435","7,249,912","7,084,849","6,896,657","-188,192",-2.7%,56
Kew    Gardens-Union Turnpike,"8,609,185","8,363,109","8,354,731","8,109,611","7,811,007","7,680,149","-130,858",-1.7%,48
Mets-Willets    Point,"1,902,121","1,875,472","2,120,859","2,004,343","1,873,789","1,756,825","-116,964",-6.2%,263
Middle    Village-Metropolitan Av,"1,200,171","1,300,110","1,361,246","1,365,048","875,782","954,875","+79,093",+9.0%,364
Northern Blvd,"2,239,136","2,290,836","2,282,296","2,264,100","2,140,551","2,097,374","-43,177",-2.0%,224
Ozone    Park-Lefferts Blvd,"2,262,961","2,263,109","2,224,331","2,351,557","2,306,419","2,296,755","-9,664",-0.4%,201
Parsons Blvd,"2,035,948","2,052,252","2,094,007","2,063,042","1,998,650","2,003,517","+4,867",+0.2%,233
